variant,dim,func,seed,best_fit,elapsed_s,explore_pct,mean_kappa,effective_threshold,n_explore_agents,err_at_10pct,err_at_25pct,err_at_50pct,err_at_75pct,err_at_100pct
ORC-SHADE,10,12,21,164.47351934602648,83.58,11.13,0.0,0.0,0,164.52097837670226,164.47351934602648,164.47351934602648,164.47351934602648,164.47351934602648
ORC-SHADE,10,12,25,165.46842172031938,81.95,11.87,-0.1599,0.0,0,165.56693471278413,165.46842172035122,165.46842172031938,165.46842172031938,165.46842172031938
ORC-SHADE,10,7,13,7.285052561201155e-10,185.38,27.57,0.0,0.0,0,20.73549562130688,8.085701479183399,0.532954320798126,0.18801266203468003,7.285052561201155e-10
ORC-SHADE[no-orc],10,3,21,0.0,30.89,0.0,0.0,2.0,0,1.830358087318018e-11,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,3,24,0.0,31.55,0.0,-0.2291,2.0,0,3.410605131648481e-13,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,3,26,0.0,31.3,0.0,-0.3242,2.0,0,1.1254996934439987e-11,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,3,27,0.0,31.06,0.0,0.0,2.0,0,2.6147972675971687e-12,0.0,0.0,0.0,0.0
ORC-SHADE,10,12,23,164.89754759195785,86.17,10.0,0.0,0.0,0,164.92099343675773,164.89754759195785,164.89754759195785,164.89754759195785,164.89754759195785
ORC-SHADE[no-orc],10,3,5,0.0,43.19,0.0,0.0,2.0,0,7.389644451905042e-12,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,3,28,0.0,33.1,0.0,0.0,2.0,0,1.2505552149377763e-12,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,5,2,0.0,25.77,0.0,0.0,2.0,0,2.8754811864928342e-09,0.0,0.0,0.0,0.0
ORC-SHADE,10,7,9,2.359797690587584e-08,190.81,29.67,-0.25,0.0,1,24.81595180268755,7.909729745763798,0.47952384098562106,0.23366499695794118,2.359797690587584e-08
ORC-SHADE[no-orc],10,5,3,0.0,26.56,0.0,0.0,2.0,0,1.20508047984913e-09,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,5,0,0.0,27.57,0.0,0.0,2.0,0,3.803579033956339e-06,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,5,5,0.0,26.59,0.0,0.0,2.0,0,4.2462033889023587e-10,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,5,6,0.0,27.2,0.0,0.0,2.0,0,2.478907390468521e-08,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,5,4,0.0,27.61,0.0,0.0,2.0,0,3.317381924716756e-10,0.0,0.0,0.0,0.0
ORC-SHADE,10,7,15,6.596495722988038e-06,191.99,27.84,-0.5,0.0,1,23.598133433835528,4.253716544550798,0.1803808635529549,0.06937212072216425,6.596495722988038e-06
ORC-SHADE[no-orc],10,5,7,0.0,27.48,0.0,0.0,2.0,0,3.9608494262211025e-10,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,5,8,0.0,28.33,0.0,0.0,2.0,0,3.018499228346627e-09,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,3,20,0.0,40.11,0.0,0.0,2.0,0,2.2737367544323206e-13,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,5,13,0.0,26.57,0.0,-0.5,2.0,0,4.3679619921022095e-09,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,5,14,0.0,26.73,0.0,0.0,2.0,0,9.241603038390167e-10,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,3,23,0.0,40.23,0.0,0.0,2.0,0,1.3642420526593924e-12,0.0,0.0,0.0,0.0
ORC-SHADE,10,12,14,165.46842172031893,96.95,11.4,0.0,0.0,0,165.55303479989743,165.46842172031893,165.46842172031893,165.46842172031893,165.46842172031893
ORC-SHADE[no-orc],10,4,4,10.000000294335337,39.17,0.0,0.0,2.0,0,26.441470660720825,10.019113853411568,10.001039816742036,10.000028819683962,10.000000294335337
ORC-SHADE[no-orc],10,4,2,8.000030178982911,39.51,0.0,-0.0205,2.0,0,24.00512768034332,8.068668286475031,8.001509423547532,8.000623110739753,8.000030178982911
ORC-SHADE[no-orc],10,4,0,16.000001659560894,39.88,0.0,0.0,2.0,0,19.4521698630042,16.025393354629387,16.00085473579395,16.000124640570675,16.000001659560894
ORC-SHADE,10,12,28,165.46842172031893,92.14,11.18,-0.9794,0.0,0,165.47295867389494,165.46842172031893,165.46842172031893,165.46842172031893,165.46842172031893
ORC-SHADE[no-orc],10,5,20,0.0,27.14,0.0,0.0,2.0,0,1.646185410209e-10,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,5,19,0.0,27.7,0.0,0.0,2.0,0,1.053763298841659e-09,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,4,6,12.000000036495749,39.9,0.0,-0.5,2.0,0,20.29121280878701,12.100242759935213,12.00010211061408,12.000007383984553,12.000000036495749
ORC-SHADE[no-orc],10,3,17,0.0,45.22,0.0,0.0,2.0,0,1.5802470443304628e-11,0.0,0.0,0.0,0.0
ORC-SHADE,10,12,16,164.89754759195785,97.58,9.63,0.0,0.0,0,164.89897211607968,164.89754759195785,164.89754759195785,164.89754759195785,164.89754759195785
ORC-SHADE[no-orc],10,4,10,16.000000000012847,39.32,0.0,-0.25,2.0,0,16.015720563386253,16.00070383320258,16.00000965511242,16.00000160882712,16.000000000012847
ORC-SHADE[no-orc],10,4,12,12.0,39.11,0.0,0.0,2.0,0,24.497585290144684,12.002673357327694,12.000173960710526,12.000020280532908,12.0
