algorithm,dataset,budget,trial,best_accuracy,best_fitness,n_queries,elapsed_s,is_real_data
ORC-RE,cifar10,200,34,82.0162,17.9838,200,96.298,False
ORC-RE,cifar10,200,48,82.0162,17.9838,200,97.236,False
ORC-RE,cifar10,200,47,80.0663,19.9337,200,98.152,False
ORC-RE,cifar10,200,16,82.0162,17.9838,200,99.397,False
ORC-RE,cifar10,200,17,80.0663,19.9337,200,101.014,False
ORC-RE,cifar10,200,24,89.9837,10.0163,200,101.28,False
ORC-RE,cifar10,200,72,98.9577,1.0423,200,98.851,False
ORC-RE,cifar10,200,84,89.9837,10.0163,200,97.514,False
ORC-RE,cifar10,200,4,80.0663,19.9337,200,103.872,False
ORC-RE,cifar10,200,96,80.0663,19.9337,200,93.355,False
ORC-RE,cifar10,200,0,82.0162,17.9838,200,104.296,False
ORC-RE,cifar10,200,73,89.9837,10.0163,200,100.897,False
ORC-RE,cifar10,200,45,89.9837,10.0163,200,105.691,False
ORC-RE,cifar10,200,97,89.9837,10.0163,200,93.898,False
ORC-RE,cifar10,200,83,89.9837,10.0163,200,102.721,False
ORC-RE,cifar10,200,95,98.9577,1.0423,200,103.454,False
ORC-RE,cifar10,200,5,82.0162,17.9838,200,113.367,False
ORC-RE,cifar10,200,50,82.0162,17.9838,200,113.739,False
ORC-RE,cifar10,200,63,80.0663,19.9337,200,119.453,False
ORC-RE,cifar10,200,40,80.0663,19.9337,200,125.068,False
ORC-RE,cifar10,200,71,82.0162,17.9838,200,130.077,False
ORC-RE,cifar10,200,94,89.9837,10.0163,200,131.347,False
ORC-RE,cifar10,200,46,82.0162,17.9838,200,139.966,False
ORC-Tabu,cifar10,200,75,98.9577,1.0423,200,1.029,False
ORC-RE,cifar10,200,78,98.9577,1.0423,200,137.787,False
ORC-RE,cifar10,200,29,82.0162,17.9838,200,142.882,False
ORC-RE,cifar10,200,28,89.9837,10.0163,200,146.473,False
ORC-RE,cifar10,200,90,89.9837,10.0163,200,139.42,False
ORC-RE,cifar10,200,66,89.9837,10.0163,200,150.985,False
ORC-RE,cifar10,200,65,98.9577,1.0423,200,157.085,False
ORC-RE,cifar10,200,19,82.0162,17.9838,200,161.808,False
ORC-RE,cifar10,200,53,98.9577,1.0423,200,167.979,False
ORC-RE,cifar10,200,57,98.9577,1.0423,200,171.583,False
ORC-RE,cifar10,200,10,89.9837,10.0163,200,181.067,False
ORC-RE,cifar10,200,77,82.0162,17.9838,200,177.635,False
